Nº chamada;Data/hora de criação;Local do fato;Latitude  do local;Longitude do local;Natureza;Unidade Responsável;Recursos empenhados;Alerta;Destaque;Envolve autoridade;Tipo de classificação;Situação;Data/hora da situação atual
2020-09954260-4;20/03/2020 23:24;AVENIDA BARAO INDAIA, Nº 655 - CENTRO - ABAETE;-191.569.124;-454.432.448;E01268 - INFRACAO DE MEDIDA SANITARIA PREVENTIVA (C) (Prioridade: 3 - Baixa);141 CIA PM/7 BPM/7 RPM;25927;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;21/03/2020 06:07
2020-09962878-2;21/03/2020 19:20;RUA PADRE EUSTAQUIO, Nº 1040 - DONA ROSA - DIVINOPOLIS;-201.661.239;-448.544.273;G01330 - DESOBEDIENCIA (C) (Prioridade: 3 - Baixa);142 CIA PM/23 BPM/7 RPM;28874;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;21/03/2020 20:16
2020-09962943-2;21/03/2020 19:24;RUA ESMERALDA, Nº 268 - NITEROI - DIVINOPOLIS;-201.411.293;-448.748.013;G01330 - DESOBEDIENCIA (C) (Prioridade: 3 - Baixa);142 CIA PM/23 BPM/7 RPM;26545 / 26541;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;21/03/2020 20:14
2020-09962972-0;21/03/2020 19:24;RUA DOUTOR MIGUEL GONTIJO, Nº 266 - CENTRO - BOM DESPACHO;-197.397.095;-452.536.953;Y11011 - APOIO A OUTROS ORGAOS (C) (Prioridade: 3 - Baixa);COPOM/7 BPM/7 RPM;28605 / 28587;Não;Não;Não;RAT;Classificada;21/03/2020 21:41
2020-09963008-6;21/03/2020 19:31;RUA JOSE DEMETRIO COELHO, Nº 1 - CENTRO - CARMO DO CAJURU;-201.843.663;-447.776.861;G01330 - DESOBEDIENCIA (C) (Prioridade: 3 - Baixa);3 PEL/142 CIA PM/23 BPM/7 RPM;25669;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;21/03/2020 21:06
2020-09963045-2;21/03/2020 19:33;AVENIDA SANTA LUCIA, Nº 591 - MARIA HELENA - DIVINOPOLIS;-201.515.785;-448.611.087;G01330 - DESOBEDIENCIA (C) (Prioridade: 3 - Baixa);142 CIA PM/23 BPM/7 RPM;26545 / 26541;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;21/03/2020 21:02
2020-09963123-4;21/03/2020 19:38;AVENIDA AMAZONAS, Nº 613 - CATALAO - DIVINOPOLIS;-201.549.549;-449.009.335;G01330 - DESOBEDIENCIA (C) (Prioridade: 3 - Baixa);139 CIA PM/23 BPM/7 RPM;28792;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;21/03/2020 20:49
2020-09963187-7;21/03/2020 19:43;RUA PADRE EUSTAQUIO, Nº 1081 - SAGRADA FAMILIA - DIVINOPOLIS;-201.661.823;-448.537.311;G01330 - DESOBEDIENCIA (C) (Prioridade: 3 - Baixa);142 CIA PM/23 BPM/7 RPM;28874;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;21/03/2020 20:43
2020-09963317-0;21/03/2020 19:52;RUA NOSSA SENHORA APARECIDA / RUA DELFINOPOLIS - DIVINOPOLIS;-201.475.169;-449.067.272;G01330 - DESOBEDIENCIA (C) (Prioridade: 3 - Baixa);139 CIA PM/23 BPM/7 RPM;28793 / 28733;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;21/03/2020 20:38
2020-09963443-5;21/03/2020 20:03;AVENIDA JK, Nº 184 - VILA SANTO ANDRE - DIVINOPOLIS;-201.360.416;-448.838.027;G01330 - DESOBEDIENCIA (C) (Prioridade: 3 - Baixa);53 CIA PM/23 BPM/7 RPM;28710;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;21/03/2020 20:54
2020-09963505-0;21/03/2020 20:06;RUA ALEXANDRINA FIGUEIREDO, Nº 2230 - JUSA FONSECA - DIVINOPOLIS;-201.748.095;-448.680.385;G01330 - DESOBEDIENCIA (C) (Prioridade: 3 - Baixa);142 CIA PM/23 BPM/7 RPM;28874;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;21/03/2020 21:40
2020-09963506-3;21/03/2020 20:06;RUA FRANCISCO ARAUJO LOPES CANCADO, Nº 98 - SAO JOSE - BOM DESPACHO;-197.504.873;-452.550.549;A05000 - AVERIGUA PESSOA / VEICULO EM ATITUDE SUSPEITA (C) (Prioridade: 1 - Alta);COPOM/7 BPM/7 RPM;28867;Não;Não;Não;W99000-OUTROS TIPOS DE ROTINAS ADMINISTRATIVAS;Classificada;21/03/2020 20:27
2020-09963516-7;21/03/2020 20:09;RUA CONQUISTA / AVENIDA SETE DE SETEMBRO - DIVINOPOLIS;-201.305.222;-448.868.597;G01330 - DESOBEDIENCIA (C) (Prioridade: 3 - Baixa);53 CIA PM/23 BPM/7 RPM;28879;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;21/03/2020 20:48
2020-09963595-3;21/03/2020 20:15;RUA SANTO ANTONIO DO MONTE, Nº 306 - ROSARIO - BOM DESPACHO;-197.450.002;-452.665.078;A05000 - AVERIGUA PESSOA / VEICULO EM ATITUDE SUSPEITA (C) (Prioridade: 1 - Alta);COPOM/7 BPM/7 RPM;28072;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;21/03/2020 20:18
2020-09963765-1;21/03/2020 20:29;PRACA MATRIZ, Nº 140 - BOM DESPACHO;-197.370.674;-452.520.829;E08042 - PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS (C) (Prioridade: 3 - Baixa);COPOM/7 BPM/7 RPM;28735;Não;Não;Não;W99000-OUTROS TIPOS DE ROTINAS ADMINISTRATIVAS;Classificada;21/03/2020 20:54
2020-09963975-4;21/03/2020 20:48;RUA PEDRO MARTINS MACHADO, Nº 301 - SANTA LUCIA - DIVINOPOLIS;-20.165.541;-448.406.721;E01268 - INFRACAO DE MEDIDA SANITARIA PREVENTIVA (C) (Prioridade: 3 - Baixa);142 CIA PM/23 BPM/7 RPM;;Não;Não;Não;W09000-CANCELADA POR ORDEM DO ORGAO DE COORDENACAO E CONTROL;Classificada;21/03/2020 21:01
2020-09964753-8;21/03/2020 21:56;RUA SANTA CATARINA, Nº 767 - SANTO ANTONIO - DIVINOPOLIS;-201.390.229;-448.999.062;B01147 - AMEACA (C) (Prioridade: 1 - Alta);53 CIA PM/23 BPM/7 RPM;28703;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;21/03/2020 22:39
2020-09964854-5;21/03/2020 22:04;AVENIDA ANA ROSA, Nº S/N - ANA ROSA - BOM DESPACHO;-197.395.756;-452.427.428;A99000 - OUTRAS ACOES DEFESA SOCIAL (C) (Prioridade: 3 - Baixa);COPOM/7 BPM/7 RPM;28072;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;21/03/2020 22:06
2020-09965331-2;21/03/2020 22:39;AVENIDA SIMAO DA CUNHA, Nº 591 - CENTRO - ABAETE;-191.530.889;-454.463.481;A99000 - OUTRAS ACOES DEFESA SOCIAL (C) (Prioridade: 3 - Baixa);141 CIA PM/7 BPM/7 RPM;25927;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;21/03/2020 22:40
2020-09965550-6;21/03/2020 22:59;POVOADO MATO SECO, Nº S/N - BOM DESPACHO;-195.660.833;-452.154.722;A99000 - OUTRAS ACOES DEFESA SOCIAL (C) (Prioridade: 3 - Baixa);COPOM/7 BPM/7 RPM;28072;Não;Não;Não;W99000-OUTROS TIPOS DE ROTINAS ADMINISTRATIVAS;Classificada;21/03/2020 23:45
2020-09965744-2;21/03/2020 23:17;RUA LAZARA SILVA, Nº 110 - BELVEDERE II - DIVINOPOLIS;-201.765.582;-44.901.459;E08042 - PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS (C) (Prioridade: 3 - Baixa);139 CIA PM/23 BPM/7 RPM;28792;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;22/03/2020 00:13
2020-09966162-2;21/03/2020 23:51;AVENIDA ANTONIO OLIMPIO DE MORAIS / RUA CORONEL JOAO NOTINI - DIVINOPOLIS;-201.403.244;-448.873.205;E01268 - INFRACAO DE MEDIDA SANITARIA PREVENTIVA (C) (Prioridade: 3 - Baixa);53 CIA PM/23 BPM/7 RPM;28880;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;22/03/2020 00:16
2020-09966941-9;22/03/2020 01:02;AVENIDA CHICO BERNADINO, Nº S/N - CHÁCARAS MIRANTE - BOM DESPACHO;-197.194.831;-452.616.781;A99000 - OUTRAS ACOES DEFESA SOCIAL (C) (Prioridade: 3 - Baixa);COPOM/7 BPM/7 RPM;28072 / 28867;Não;Não;Não;W99000-OUTROS TIPOS DE ROTINAS ADMINISTRATIVAS;Classificada;22/03/2020 01:27
2020-09968805-1;22/03/2020 08:05;AVENIDA GOVERNADOR MAGALHAES PINTO, Nº 630 - NITEROI - DIVINOPOLIS;-201.387.642;-448.736.432;E01268 - INFRACAO DE MEDIDA SANITARIA PREVENTIVA (C) (Prioridade: 3 - Baixa);142 CIA PM/23 BPM/7 RPM;28874 / 28641 / 28655;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;22/03/2020 08:42
2020-09969058-7;22/03/2020 08:50;AVENIDA DO ACO / RUA PERU - DIVINOPOLIS;-201.586.795;-448.575.763;E01268 - INFRACAO DE MEDIDA SANITARIA PREVENTIVA (C) (Prioridade: 3 - Baixa);142 CIA PM/23 BPM/7 RPM;28655 / 28641;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;22/03/2020 09:05
2020-09969156-6;22/03/2020 09:01;AVENIDA PARANA, Nº 3240 - EXPOSICAO - DIVINOPOLIS;-201.710.813;-449.141.666;A99000 - OUTRAS ACOES DEFESA SOCIAL (C) (Prioridade: 3 - Baixa);240 CIA TM/23 BPM/7 RPM;28847;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;22/03/2020 09:37
2020-09969526-3;22/03/2020 09:55;AVENIDA ROSANA NORONHA GUARANY, Nº 240 - ICARAI - DIVINOPOLIS;-201.136.337;-448.509.794;E01268 - INFRACAO DE MEDIDA SANITARIA PREVENTIVA (C) (Prioridade: 3 - Baixa);142 CIA PM/23 BPM/7 RPM;;Não;Não;Não;W09000-CANCELADA POR ORDEM DO ORGAO DE COORDENACAO E CONTROL;Classificada;22/03/2020 15:45
2020-09969601-7;22/03/2020 10:01;RUA LIRIO DO VALE, Nº 146 - SANTOS DUMONT - DIVINOPOLIS;-201.754.146;-448.769.259;A99000 - OUTRAS ACOES DEFESA SOCIAL (C) (Prioridade: 3 - Baixa);142 CIA PM/23 BPM/7 RPM;28874;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;22/03/2020 10:44
2020-09969605-8;22/03/2020 10:04;RUA LUIS RABELO / RUA JESUS JOTA - DIVINOPOLIS;-201.581.225;-448.711.697;E01268 - INFRACAO DE MEDIDA SANITARIA PREVENTIVA (C) (Prioridade: 3 - Baixa);142 CIA PM/23 BPM/7 RPM;28655;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;22/03/2020 10:44
2020-09969647-8;22/03/2020 10:11;AVENIDA OVIDIO ABREU, Nº S/N - VILA ROMUALDO PEREIRA DA SILVA - PARA DE MINAS;-198.799.648;-446.052.604;Y11011 - APOIO A OUTROS ORGAOS (C) (Prioridade: 3 - Baixa);19 CIA PM IND/7 RPM;28084;Não;Não;Não;RAT;Classificada;22/03/2020 17:41
2020-09969769-5;22/03/2020 10:24;RUA CARAGUATATUBA, Nº 100 - JARDIM CANDELARIA - DIVINOPOLIS;-201.031.083;-448.748.446;E01268 - INFRACAO DE MEDIDA SANITARIA PREVENTIVA (C) (Prioridade: 3 - Baixa);23 BPM/7 RPM;28879 / INTENDENTE;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;22/03/2020 12:30
2020-09969810-7;22/03/2020 10:30;RUA JOAO DE BARRO, Nº 180 - SERRA VERDE - DIVINOPOLIS;-201.116.405;-449.015.257;E01268 - INFRACAO DE MEDIDA SANITARIA PREVENTIVA (C) (Prioridade: 3 - Baixa);53 CIA PM/23 BPM/7 RPM;28710;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;22/03/2020 11:12
2020-09970337-8;22/03/2020 11:42;POVOADO CORREGO DO PAIOL, Nº S/N - DIVINOPOLIS;-201.957.855;-448.676.485;E01268 - INFRACAO DE MEDIDA SANITARIA PREVENTIVA (C) (Prioridade: 3 - Baixa);142 CIA PM/23 BPM/7 RPM;28086 / 26041 / 26535 / 24346;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;22/03/2020 17:02
2020-09970343-0;22/03/2020 11:42;RUA JONATHAN ROBERT FERNANDES, Nº 41 - VILA DAS ROSEIRAS - DIVINOPOLIS;-201.742.491;-448.455.348;E01268 - INFRACAO DE MEDIDA SANITARIA PREVENTIVA (C) (Prioridade: 3 - Baixa);7 CIA PM IND PE/7 RPM;28855-CMD / 28859;Não;Não;Não;W04000-NADA CONSTATADO;Classificada;22/03/2020 16:01
2020-09970410-6;22/03/2020 11:48;RUA JOAO SEVERINO DE AZEVEDO, Nº 2153 - NACOES - DIVINOPOLIS;;;E01268 - INFRACAO DE MEDIDA SANITARIA PREVENTIVA (C) (Prioridade: 3 - Baixa);23 BPM/7 RPM;28881 / PM1500214;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;22/03/2020 13:13
2020-09970632-8;22/03/2020 12:22;RUA FLAMBOYANT, Nº 90 - PRIMAVERA - DIVINOPOLIS;-201.339.792;-448.549.909;E01268 - INFRACAO DE MEDIDA SANITARIA PREVENTIVA (C) (Prioridade: 3 - Baixa);142 CIA PM/23 BPM/7 RPM;28693 / 24345-BSC;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;22/03/2020 15:59
2020-09970814-5;22/03/2020 12:52;RUA NOE SOARES, Nº 420 - CHANADOUR - DIVINOPOLIS;-20.177.204;-449.136.578;E01268 - INFRACAO DE MEDIDA SANITARIA PREVENTIVA (C) (Prioridade: 3 - Baixa);139 CIA PM/23 BPM/7 RPM;26493-BSC / 24344;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;22/03/2020 15:29
2020-09970879-0;22/03/2020 13:05;RUA RIO DE JANEIRO / AVENIDA SETE DE SETEMBRO - DIVINOPOLIS;-201.414.095;-44.890.955;E01268 - INFRACAO DE MEDIDA SANITARIA PREVENTIVA (C) (Prioridade: 3 - Baixa);53 CIA PM/23 BPM/7 RPM;28710;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;22/03/2020 13:13
2020-09971046-0;22/03/2020 13:27;RUA MARIA TAVEIRA, Nº 590 - NOSSA SENHORA DO CARMO - CARMO DO CAJURU;-201.951.879;-447.567.197;E01268 - INFRACAO DE MEDIDA SANITARIA PREVENTIVA (C) (Prioridade: 3 - Baixa);3 PEL/142 CIA PM/23 BPM/7 RPM;28495;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;22/03/2020 15:30
2020-09971056-4;22/03/2020 13:32;AVENIDA PARANA, Nº 737 - ARAUJOS;-199.402.343;-451.588.081;A99000 - OUTRAS ACOES DEFESA SOCIAL (C) (Prioridade: 3 - Baixa);2 GP/4 PEL/279 CIA PM/60 BPM/7 RPM;ARAUJOS;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;22/03/2020 13:46
2020-09971105-8;22/03/2020 13:38;RUA JOAO DE BARRO / RUA ARTUR BERNARDES - NOVA FORTALEZA - DIVINOPOLIS;;;E01268 - INFRACAO DE MEDIDA SANITARIA PREVENTIVA (C) (Prioridade: 3 - Baixa);53 CIA PM/23 BPM/7 RPM;26042 / 26500 / 24342;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;22/03/2020 14:59
2020-09971157-1;22/03/2020 13:47;RUA MESTRE PEDRO DA SILVA, Nº 130 - ESPLANADA - DIVINOPOLIS;-201.533.653;-448.921.429;E01268 - INFRACAO DE MEDIDA SANITARIA PREVENTIVA (C) (Prioridade: 3 - Baixa);139 CIA PM/23 BPM/7 RPM;;Não;Não;Não;DISPEN-DISPENSADA PELO SOLICITANTE;Classificada;22/03/2020 14:05
2020-09971337-3;22/03/2020 14:10;RUA IPATINGA, Nº 375 - IPIRANGA - DIVINOPOLIS;-201.384.967;-449.065.104;E01268 - INFRACAO DE MEDIDA SANITARIA PREVENTIVA (C) (Prioridade: 3 - Baixa);23 BPM/7 RPM;28881 / 24343;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;22/03/2020 15:30
2020-09971369-0;22/03/2020 14:19;RUA SANTA CATARINA / RUA MINAS GERAIS - DIVINOPOLIS;-201.408.357;-449.004.783;E01268 - INFRACAO DE MEDIDA SANITARIA PREVENTIVA (C) (Prioridade: 3 - Baixa);53 CIA PM/23 BPM/7 RPM;26498 / 26505;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;22/03/2020 14:58
2020-09971649-6;22/03/2020 14:37;RUA IPIRANGA, Nº 211 - MANOEL VALINHAS - DIVINOPOLIS;-201.305.702;-448.752.826;E01268 - INFRACAO DE MEDIDA SANITARIA PREVENTIVA (C) (Prioridade: 3 - Baixa);53 CIA PM/23 BPM/7 RPM;28881;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;22/03/2020 16:32
2020-09971736-9;22/03/2020 14:46;AVENIDA BRIGADEIRO EDUARDO GOMES / RUA RAFAEL GIMENES - DIVINOPOLIS;-201.822.551;-448.800.058;E01268 - INFRACAO DE MEDIDA SANITARIA PREVENTIVA (C) (Prioridade: 3 - Baixa);142 CIA PM/23 BPM/7 RPM;26041 / 26535 / 28686 / 24346;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;22/03/2020 17:31
2020-09971738-4;22/03/2020 14:47;RUA VINTE E TRES DE NOVEMBRO, Nº 118 - SAO JOAO DE DEUS - DIVINOPOLIS;-201.444.602;-448.749.068;E01268 - INFRACAO DE MEDIDA SANITARIA PREVENTIVA (C) (Prioridade: 3 - Baixa);142 CIA PM/23 BPM/7 RPM;21119;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;22/03/2020 17:42
2020-09971779-1;22/03/2020 14:50;PRACA JUSCELINO KUBITSCHEK, Nº 70 - CENTRO - SAO GONCALO DO PARA;-199.819.941;-448.583.029;A99000 - OUTRAS ACOES DEFESA SOCIAL (C) (Prioridade: 3 - Baixa);142 CIA PM/23 BPM/7 RPM;28086;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;22/03/2020 14:50
2020-09972175-9;22/03/2020 15:24;RUA BOM SUCESSO, Nº S/N - INTERLAGOS - DIVINOPOLIS;-201.577.883;-448.777.265;E01268 - INFRACAO DE MEDIDA SANITARIA PREVENTIVA (C) (Prioridade: 3 - Baixa);142 CIA PM/23 BPM/7 RPM;26041 / 26535;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;22/03/2020 15:50
2020-09972563-8;22/03/2020 15:59;RUA PIO XII, Nº 240 - VILA ROMANA - DIVINOPOLIS;-201.136.668;-448.673.649;E01268 - INFRACAO DE MEDIDA SANITARIA PREVENTIVA (C) (Prioridade: 3 - Baixa);142 CIA PM/23 BPM/7 RPM;28874 / 26541-BSC / 26545-BSC / 21199;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;22/03/2020 20:07
2020-09972763-7;22/03/2020 16:16;RUA ENGENHEIRO BENJAMIN DE OLIVEIRA, Nº 180 - ESPLANADA - DIVINOPOLIS;-201.515.122;-448.913.465;E01268 - INFRACAO DE MEDIDA SANITARIA PREVENTIVA (C) (Prioridade: 3 - Baixa);139 CIA PM/23 BPM/7 RPM;28733 / 24344;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;22/03/2020 16:47
2020-09972772-8;22/03/2020 16:17;RUA FORTALEZA / AVENIDA SETE DE SETEMBRO - DIVINOPOLIS;-201.268.851;-448.854.126;E01268 - INFRACAO DE MEDIDA SANITARIA PREVENTIVA (C) (Prioridade: 3 - Baixa);53 CIA PM/23 BPM/7 RPM;26042 / 26500;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;22/03/2020 16:46
2020-09972829-3;22/03/2020 16:24;PRACA FRANCISCO RESENDE COSTA, Nº S/N - PORTO VELHO - DIVINOPOLIS;-201.513.974;-448.864.416;E01268 - INFRACAO DE MEDIDA SANITARIA PREVENTIVA (C) (Prioridade: 3 - Baixa);142 CIA PM/23 BPM/7 RPM;26041 / 26535;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;22/03/2020 17:38
2020-09972963-6;22/03/2020 16:33;RUA JOSE DEMETRIO COELHO, Nº 148 - CENTRO - CARMO DO CAJURU;-201.845.992;-447.760.726;E01268 - INFRACAO DE MEDIDA SANITARIA PREVENTIVA (C) (Prioridade: 3 - Baixa);3 PEL/142 CIA PM/23 BPM/7 RPM;16785;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;22/03/2020 17:42
2020-09973066-9;22/03/2020 16:47;RUA JOSE EVARISTO CARVALHO, Nº 490 - GRAO PARA - PARA DE MINAS;-198.345.089;-446.307.126;A05000 - AVERIGUA PESSOA / VEICULO EM ATITUDE SUSPEITA (C) (Prioridade: 1 - Alta);19 CIA PM IND/7 RPM;17697 / 20285;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;22/03/2020 17:41
2020-09973273-3;22/03/2020 17:03;RUA VEREADOR ILDEU ALVES FERREIRA, Nº 210 - PARA DE MINAS;-198.630.209;-445.971.219;E08042 - PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS (C) (Prioridade: 3 - Baixa);19 CIA PM IND/7 RPM;21939 / 20285;Não;Não;Não;W03000-SOLICITANTE ENCONTRADO - PROVIDENCIA DISPENSADA.;Classificada;22/03/2020 17:41
