REDS;UNIDADE;MUNICIPIO;NATUREZA;INDICADOR;DATA ENVIO;DATA RESPOSTA CINDS;AUDITADO;PROTOCOLO;OBSERVACAO
2020-000731389-001;19ª CIA PM IND;PARÁ DE MINAS;ROUBO CONSUMADO;ACERTO DE TRI;06/01/20;21/01/20;SIM;202001019725288-2001;
2020-000483906-001;19ª CIA PM IND;PARÁ DE MINAS;ROUBO CONSUMADO;INCLUSAO DE ARMA DE FOGO;07/01/20;21/01/20;NAO;202001019727258-2001;
2020-002297851-001;23º BPM;DIVINOPOLIS;ROUBO CONSUMADO;CONFLITO DE ENDEREÇO;20/01/20;22/01/20;SIM;202001019775217-2001;
2020-000479347-001;60º BPM;NOVA SERRANA;AVERIGUACAO DE PESSOA EM ATITUDE SUSPEITA;ACERTO DE TRI/INCLUSAO ARMA DE FOGO;16/01/20;22/01/20;SIM;202001019771325-2001;
2020-002122616-001;60º BPM;NOVA SERRANA;AVERIGUACAO DE PESSOA EM ATITUDE SUSPEITA;ACERTO DE TRI;16/01/20;22/01/20;SIM;202001019771325-2001;
2020-000840659-002;7º BPM;BOM DESPACHO;ROUBO CONSUMADO;DESCONTABILIZAR REDS;27/01/2020;27/01/2020;SIM;202001019935896-2001;
2020-001257551-001;7º BPM;BOM DESPACHO;TRAFICO ILICITO DE DROGAS;DESCONTABILIZAR REDS;27/01/2020;27/01/2020;SIM;202001019935896-2001;
2020-002924187-002;23º BPM;CLÁUDIO;ROUBO CONSUMADO;DESCONTABILIZAR REDS;27/01/2020;28/01/2020;SIM;202001019962284-2001;
2020-004104058-001;7º BPM;BOM DESPACHO;AVERIGUA PESSOA / VEICULO EM ATITUDE SUSPEITA;ACERTO DE TRI;28/01/2020;31/01/2020;SIM;202001020092042-2001;
2020-002227095-001;7º BPM;LAGOA DA PRATA;ESTUPRO DE VULNERAVEL;DESCONTABILIZAR REDS;28/01/2020;31/01/2020;SIM;202001020092042-2001;
2020-003683337-001 ;7º BPM;BOM DESPACHO;ROUBO;DESCONTABILIZAR REDS;28/01/2020;31/01/2020;SIM;202001020092042-2001;
2020-004744359-001;7º BPM;LAGOA DA PRATA;ROUBO;DESCONTABILIZAR REDS;03/02/2020;04/02/2020;SIM;202002020210318-2002;
2020-004556047-001;7º BPM;POMPÉU;DESOBEDIENCIA;ACERTO DE TRI;03/02/2020;04/02/2020;SIM;202002020210318-2002;
2020-004944693-001 ;7º BPM;ABAETÉ;ESTUPRO DE VULNERAVEL;DESCONTABILIZAR REDS;03/02/2020;04/02/2020;NAO;202002020210318-2002;
2020-000305686-001;23º BPM;DIVINOPOLIS;FURTO;INCLUSAO CRIME VIOLENTO;;10/02/2020;SIM;202002020433020-2002;RECEBIDO PELO CINDS
2020-000647385-001;23º BPM;ITAUNA;FURTO;INCLUSAO CRIME VIOLENTO;;10/02/2020;SIM;202002020433020-2002;RECEBIDO PELO CINDS
2020-000801153-001;60º BPM;NOVA SERRANA;FURTO;INCLUSAO CRIME VIOLENTO;;10/02/2020;SIM;202002020433020-2002;RECEBIDO PELO CINDS
2020-001121774-001;7º BPM;LAGOA DA PRATA;FURTO;INCLUSAO CRIME VIOLENTO;;10/02/2020;SIM;202002020433020-2002;RECEBIDO PELO CINDS
2020-007010007-001;19ª CIA PM IND;PARÁ DE MINAS;ROUBO;DESCONTABILIZAR REDS;13/02/2020;28/02/2020;SIM;202002021114893-2002;
2020-007057330-001;19ª CIA PM IND;PARÁ DE MINAS;ROUBO;DESCONTABILIZAR REDS;13/02/2020;28/02/2020;SIM;202002021114893-2002;
2020-007225023-001;63º BPM;FORMIGA;INVASÃO DE DISPOSITIVO INFORMÁTICO - CONSUMADO;DESCONTABILIZAR REDS;13/02/2020;28/02/2020;SIM;202002021114893-2002;
2020-006980390-003;63º BPM;ARCOS;AVERIGUAÇÃO DE PESSOA;ACERTO DE TRI;13/02/2020;28/02/2020;SIM;202002021114893-2002;
2020-004978419-001;63º BPM;BAMBUÍ;ESTUPO DE VULNEÁVEL;DESCONTABILIZAR REDS;13/02/2020;28/02/2020;SIM;202002021114893-2002;
2020-006243710-001 ;60º BPM;NOVA SERRANA;AVERIGUAÇÃO DE PESSOA EM ATITUDE SUSPEITA;ACERTO DE TRI;14/02/2020;02/03/2020;SIM;202003021220108-2003;
2020-006958202-001;60º BPM;NOVA SERRANA;AVERIGUAÇÃO DE PESSOA EM ATITUDE SUSPEITA;INCLUSAO DE ARMA DE FOGO;14/02/2020;02/03/2020;SIM;202003021220108-2003;
2020-006958202-001;60º BPM;NOVA SERRANA;AVERIGUAÇÃO DE PESSOA EM ATITUDE SUSPEITA;ACERTO DE TRI;14/02/2020;02/03/2020;SIM;202003021220108-2003;
2020-006970081-001;60º BPM;NOVA SERRANA;OUTRAS INFRAÇÕES DEMAIS LEIS ESPECIAIS ;INCLUSAO DE ARMA DE FOGO;14/02/2020;02/03/2020;NAO;202003021220108-2003;
2020-007225008-001;60º BPM;NOVA SERRANA;AVERIGUAÇÃO DE PESSOA EM ATITUDE SUSPEITA;ACERTO DE TRI;14/02/2020;02/03/2020;SIM;202003021220108-2003;
2020-007195370-001 ;60º BPM;NOVA SERRANA;ROUBO;INCLUSAO DE ARMA DE FOGO;14/02/2020;02/03/2020;SIM;202003021220108-2003;
2020-000793415-001;19ª CIA PM IND;PARÁ DE MINAS;ROUBO;DESCONTABILIZAR REDS;14/02/2020;02/03/2020;NAO;202003021220108-2003;
2020-001324965-001;23º BPM;SÃO GONÇALO DO PARÁ;ROUBO;DESCONTABILIZAR REDS;19/02/2020;02/03/2020;;202003021229349-2003;
2020-007745944-001;60º BPM;NOVA SERRANA;ASSOCIACAO PARA O TRAFICO DE DROGAS;ACERTO DE TRI;19/02/2020;02/03/2020;SIM;202003021229349-2003;
2020-001324965-001;60º BPM;NOVA SERRANA;ROUBO;INCLUSAO CRIME VIOLENTO;19/02/2020;02/03/2020;SIM;202003021229349-2003;CRIME DESCONTABILIZADO PARA O 23º BPM E CONTABILIZADO PELO 60º BPM
2020-006418118-001;23º BPM;ITATIAIUÇU;ROUBO;DESCONTABILIZAR REDS;02/03/2020;04/03/220;NAO;202003021319632-2003;
2020-008381517-001;23º BPM;DIVINÓPOLIS;ROUBO ;DESCONTABILIZAR REDS;02/03/2020;04/03/2020;SIM;202003021319632-2003;
2020-006516695-001 ;7º BPM;MARTINHO CAMPOS;ROUBO;DESCONTABILIZAR REDS;02/03/2020;04/03/2020;SIM;202003021321204-2003;
2020-008814501-001;7º BPM;POMPÉU;ROUBO;DESCONTABILIZAR REDS;02/03/2020;04/03/2020;SIM;202003021321204-2003;
2020-005623840-001;23º BPM;DIVINOPOLIS;FURTO;INCLUSAO CRIME VIOLENTO;;10/03/2020;SIM;202003021552196-2003;RECEBIDO PELO CINDS
2020-006095047-001;23º BPM;DIVINOPOLIS;HOMICIDIO ;DESCONTABILIZAR REDS;;;SIM;;JANEIRO
2020-002297851-001;23º BPM;DIVINOPOLIS;ROUBO;DESCONTABILIZAR REDS;;;SIM;;JANEIRO
2020-013758037-002;23º BPM;ITAUNA;ROUBO;DESCONTABILIZAR REDS;24/03/2020;31/03/2020;SIM;202003022363094-2003;
2020-014571974-001;19ª CIA PM IND;PARÁ DE MINAS;AVERIGUAÇÃO DE PESSOA EM ATITUDE SUSPEITA;ACERTO DE TRI;24/03/2020;31/03/2020;SIM;202003022372233-2003;
2020-012981379-001;19ª CIA PM IND;PARÁ DE MINAS;ROUBO;DESCONTABILIZAR REDS;17/03/2020;31/03/2020;SIM;202003022379312-2003;
2020-006937902-001;63º BPM;FORMIGA;CONDUZIR VEÍCULO SOB INFLUÊNCIA DE EFEITO DE ÁLCOOL;INCLUSAO DE ARMA DE FOGO;16/03/2020;02/04/2020;NÃO;202004022488486-2004;
2020-010749100-002;63º BPM;BAMBUÍ;ROUBO;DESCONTABILIZAR REDS;16/03/2020;02/04/2020;SIM;202004022488486-2004;
2020-012606641-001;7º BPM;POMPÉU;ROUBO;DESCONTABILIZAR REDS;02/04/2020;;;;
2020-011159461-001;7º BPM;CÓRREGO DANTA;ESTUPRO;;02/04/2020;;;;
2020-005864394-001;7º BPM;SERRA DA SAUDADE;POSSE ILEGAL ARMA DE FOGO;;02/04/2020;;;;
2020-006087928-001;7º BPM;DORES DO INDAIÁ;POSSE ILEGAL ARMA DE FOGO;;02/04/2020;;;;
2020-013671958-001;7º BPM;POMPÉU;ESTUPRO DE VULNERÁVEL;;02/04/2020;;;;
2020-013991371-001;7º BPM;POMPÉU;ESTUPRO DE VULNERÁVEL;;02/04/2020;;;;
