Número REDS;Órgão Unidade Registro;Unidade Área Militar;Unid Registro Nível 6;Código Subclasse Nat Principal;Tentado/Consumado Nat Principal;Logradouro Ocorrência - Tipo;Logradouro Ocorrência;Logradouro Ocorrência Não Cadastrado;Logradouro Cruzamento;Logradouro Cruzamento Não Cadastrado;Número Logradouro;Bairro;Bairro Não Cadastrado;Complemento Endereço;Ponto de Referência;Município;Latitude;Longitude;Data Fato;Horário Fato;Descrição Tipo Material;Situação Material;Qtde Materiais
2019-001515196-001;POLICIA MILITAR;INVÁLIDO;279 CIA PM/60 BPM/7 RPM;C01157;CONSUMADO;RUA;INVÁLIDO;GAIVOTA;PREENCHIMENTO OPCIONAL;;0;INVÁLIDO;;;;NOVA SERRANA;;;10/01/2019;23:44:22;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2019-001636157-001;POLICIA MILITAR;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;C01157;CONSUMADO;RUA;RUBI;;PREENCHIMENTO OPCIONAL;;64;NITEROI;;;;DIVINOPOLIS;-20,14126160;-44,87716350;11/01/2019;17:27:00;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2019-001684246-001;POLICIA MILITAR;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;C01157;CONSUMADO;RUA;JAO;ROSA FONSECA E SILVA;PREENCHIMENTO OPCIONAL;;680.000;SANTA ROSA;SANTA ROSA;;;DIVINOPOLIS;-20,16601690;-44,86163770;11/01/2019;18:53:43;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2019-005790446-002;POLICIA MILITAR;3 PEL/139 CIA PM/23 BPM/7 RPM;139 CIA PM/23 BPM/7 RPM;C01157;CONSUMADO;SITIO;VARJAO CLO 0685 JOSE SOARES;POVOADO FORMIGUINHA CLO 0685;PREENCHIMENTO OPCIONAL;;0.00000;INVÁLIDO;ZONA RURAL;;FAZENDA BREJÃO;CLAUDIO;-20,43400990;-44,86829250;06/02/2019;21:20:00;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2019-006242785-001;POLICIA MILITAR;3 PEL/290 CIA PM/63 BPM/7 RPM;290 CIA PM/63 BPM/7 RPM;C01157;TENTADO;POVOADO;SUCUPIRA;Sucupira;PREENCHIMENTO OPCIONAL;;0.00000;INVÁLIDO;Povoado Sucupira;;;ITAPECERICA;-20,47812280;-45,01069370;09/02/2019;12:30:00;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2019-006289068-001;POLICIA MILITAR;2 GP/3 PEL/142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;C01157;TENTADO;RUA;PIO XII;;PREENCHIMENTO OPCIONAL;;0;SAO FRANCISCO;;;PARQUE DE EXPOSIÇÕES;SAO GONCALO DO PARA;-19,99124650;-44,84824600;09/02/2019;20:28:13;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2019-008179374-001;POLICIA MILITAR;3 PEL/19 CIA PM IND/7 RPM;19 CIA PM IND/7 RPM;C01157;CONSUMADO;RUA;NAIR GUIMARAES FERREIRA;;PREENCHIMENTO OPCIONAL;;70;RECANTO DA LAGOA;;;;PARA DE MINAS;-19,87010230;-44,57885760;21/02/2019;01:08:40;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2019-008335890-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;51 CIA PM/23 BPM/7 RPM;C01157;CONSUMADO;PRACA;IMACULADA CONCEICAO;;PREENCHIMENTO OPCIONAL;;6;CENTRO;;;;ITAUNA;-20,07509690;-44,57191170;21/02/2019;22:07:44;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2019-009879714-001;POLICIA MILITAR;279 CIA PM/60 BPM/7 RPM;279 CIA PM/60 BPM/7 RPM;C01157;CONSUMADO;ESTRADA;INVÁLIDO;ACESSO BR 262;PREENCHIMENTO OPCIONAL;;0;INVÁLIDO;;;ATRÁS DO CENTRO ADMINSTRATIVO MUNICIPAL;NOVA SERRANA;;;02/03/2019;17:40:10;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2019-010564371-001;POLICIA MILITAR;3 PEL/280 CIA PM/60 BPM/7 RPM;280 CIA PM/60 BPM/7 RPM;C01157;TENTADO;RUA;CORONEL AMERICO BAHIA;;PREENCHIMENTO OPCIONAL;;115;INVÁLIDO;CENTRO;;;PITANGUI;;;06/03/2019;21:55:53;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2019-010673667-001;POLICIA MILITAR;279 CIA PM/60 BPM/7 RPM;279 CIA PM/60 BPM/7 RPM;C01157;CONSUMADO;RUA;JOSE PEDRO DA SILVA;;PREENCHIMENTO OPCIONAL;;155;INVÁLIDO;FRANCISCO LUCAS;;VIP INJETADOS;NOVA SERRANA;;;07/03/2019;13:13:44;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2019-013654099-001;POLICIA MILITAR;50 CIA PM/7 BPM/7 RPM;50 CIA PM/7 BPM/7 RPM;C01157;CONSUMADO;PRACA;MATRIZ;;PREENCHIMENTO OPCIONAL;;0;CENTRO;;;XUÁ LANCHES;BOM DESPACHO;-19,73716670;-45,25155400;24/03/2019;21:28:57;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2019-013872472-001;POLICIA MILITAR;4 PEL/107 CIA PM/7 BPM/7 RPM;107 CIA PM/7 BPM/7 RPM;C01157;CONSUMADO;AVENIDA;JOSE ULISSES DE OLIVEIRA;;PREENCHIMENTO OPCIONAL;;189;CHICO SABINO;;;;SANTO ANTONIO DO MONTE;-20,09234470;-45,29709250;25/03/2019;21:28:00;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2019-014690557-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;51 CIA PM/23 BPM/7 RPM;C01157;CONSUMADO;RUA;RACHEL RABELO;;PREENCHIMENTO OPCIONAL;;231;SANTA EDWIRGES;;229;;ITAUNA;-20,09716490;-44,59042610;30/03/2019;13:40:00;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2019-015457103-001;POLICIA MILITAR;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;C01157;CONSUMADO;AVENIDA;DOLORES DE AGUIAR RABELO;;PREENCHIMENTO OPCIONAL;;160;INTERLAGOS;;;;DIVINOPOLIS;-20,15371610;-44,87655120;03/04/2019;20:29:02;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2019-016174754-001;POLICIA MILITAR;60 BPM/7 RPM;280 CIA PM/60 BPM/7 RPM;C01157;CONSUMADO;AVENIDA;INVÁLIDO;ITALIA;PREENCHIMENTO OPCIONAL;;552;INVÁLIDO;NOVO HORIZONTE;;;NOVA SERRANA;;;08/04/2019;08:42:49;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2019-017701472-001;POLICIA MILITAR;60 BPM/7 RPM;279 CIA PM/60 BPM/7 RPM;C01157;CONSUMADO;RUA;ESTER COELHO RIBEIRO;;PREENCHIMENTO OPCIONAL;;0;INDUSTRIAL JOSE SILVA DE ALMEIDA;;;;NOVA SERRANA;-19,87338090;-44,96807350;16/04/2019;18:16:18;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2019-018530635-001;POLICIA MILITAR;60 BPM/7 RPM;279 CIA PM/60 BPM/7 RPM;C01157;CONSUMADO;AVENIDA;MINAS GERAIS;;PREENCHIMENTO OPCIONAL;;0;INDUSTRIAL;;;;NOVA SERRANA;-19,87004110;-44,97200730;21/04/2019;20:30:36;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2019-019791422-002;POLICIA MILITAR;3 PEL/142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;C01157;CONSUMADO;RUA;CONEGO JOAO PARREIRA VILACA;CONEGO JOAO PARREIRA VILACA;PREENCHIMENTO OPCIONAL;;360.000;CENTRO;;;;CARMO DO CAJURU;-20,18703760;-44,77331570;30/04/2019;01:00:00;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2019-020115960-001;POLICIA MILITAR;50 CIA PM/7 BPM/7 RPM;50 CIA PM/7 BPM/7 RPM;C01157;CONSUMADO;RUA;FABRICA;;PALMITAL;;;PALMEIRAS;;;;BOM DESPACHO;-19,74392170;-45,26025000;30/04/2019;13:40:31;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;2
2019-020295014-001;POLICIA MILITAR;3 PEL/107 CIA PM/7 BPM/7 RPM;107 CIA PM/7 BPM/7 RPM;C01157;CONSUMADO;AVENIDA;DOUTOR JOSAPHAT MACEDO;;PREENCHIMENTO OPCIONAL;;674;ROSARIO;;;;LUZ;-19,79185650;-45,68089840;01/05/2019;17:10:00;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2019-022271819-001;POLICIA MILITAR;107 CIA PM/7 BPM/7 RPM;107 CIA PM/7 BPM/7 RPM;C01157;CONSUMADO;RUA;LUIZ GUADALUPE;;PREENCHIMENTO OPCIONAL;;187;CENTRO;;nº real 165;;LAGOA DA PRATA;-20,01988020;-45,54207530;13/05/2019;07:12:29;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2019-023010844-001;POLICIA MILITAR;2 PEL/118 CIA PM/7 BPM/7 RPM;118 CIA PM/7 BPM/7 RPM;C01157;CONSUMADO;RUA;ALBERICO MADEIRA;;PREENCHIMENTO OPCIONAL;;59.0000;LAGOA DOS BURITIS;LAGOA DOS BURITIS;;;MARTINHO CAMPOS;-19,35357180;-45,25004300;16/05/2019;23:45:00;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2019-023935256-001;POLICIA MILITAR;3 PEL/107 CIA PM/7 BPM/7 RPM;107 CIA PM/7 BPM/7 RPM;C01157;CONSUMADO;RUA;PROFESSORA MARIA JOSE MIRANDA;;PREENCHIMENTO OPCIONAL;;55;ESTEIOS;;;COOESTEIOS;LUZ;-19,92521970;-45,70527240;22/05/2019;14:45:00;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2019-023989418-001;POLICIA MILITAR;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;C01157;CONSUMADO;RUA;DOMINGOS DE AGUIAR;;PREENCHIMENTO OPCIONAL;;131;PONTE FUNDA;;;;DIVINOPOLIS;-20,15673510;-44,86468620;22/05/2019;19:40:54;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2019-026423593-001;POLICIA MILITAR;60 BPM/7 RPM;68 CIA TM/60 BPM/7 RPM;C01157;CONSUMADO;RUA;CARMO DA MATA;CARMO DA MATA;PREENCHIMENTO OPCIONAL;;0.00000;PLANALTO;BELA VISTA;;;PERDIGAO;-19,95246430;-45,07461100;05/06/2019;16:28:07;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2019-026930333-001;POLICIA MILITAR;2 PEL/290 CIA PM/63 BPM/7 RPM;63 BPM/7 RPM;C01157;CONSUMADO;RUA;PAMPULHA;;PREENCHIMENTO OPCIONAL;;50;NOSSA SENHORA DO ROSARIO;;;;FORMIGA;-20,46341200;-45,41856990;08/06/2019;01:16:42;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2019-027663316-001;POLICIA MILITAR;60 BPM/7 RPM;279 CIA PM/60 BPM/7 RPM;C01157;CONSUMADO;AVENIDA;INVÁLIDO;BENJAMIN MARTINS DO ESPIRITO SANTO;PREENCHIMENTO OPCIONAL;;1883;INVÁLIDO;PARK DONA GUMERCINDA MARTINS;;;NOVA SERRANA;;;12/06/2019;10:34:41;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2019-027906933-001;POLICIA MILITAR;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;C01157;CONSUMADO;RUA;CALDAS;;PREENCHIMENTO OPCIONAL;;300.000;PORTO VELHO;PORTO VELHO;;;DIVINOPOLIS;-20,14843380;-44,88154570;13/06/2019;14:49:04;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2019-028465573-001;POLICIA MILITAR;53 CIA PM/23 BPM/7 RPM;139 CIA PM/23 BPM/7 RPM;C01157;CONSUMADO;RUA;CARACAS;;PREENCHIMENTO OPCIONAL;;340;BELVEDERE II;;CASA;;DIVINOPOLIS;-20,17358570;-44,89789830;16/06/2019;19:45:26;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2019-029056170-001;POLICIA MILITAR;3 PEL/19 CIA PM IND/7 RPM;19 CIA PM IND/7 RPM;C01157;TENTADO;RUA;MINAS GERAIS;;PREENCHIMENTO OPCIONAL;;63;CENTRO;;;;IGARATINGA;-19,95254030;-44,71009350;19/06/2019;19:30:00;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2019-030745528-001;POLICIA MILITAR;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;C01157;CONSUMADO;RUA;EDSON SILVA;;PREENCHIMENTO OPCIONAL;;60;SANTA ROSA;;;PROXIMO AO BAR DO PAULISTA;DIVINOPOLIS;-20,16887630;-44,86043470;28/06/2019;19:06:37;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2019-032852702-001;POLICIA MILITAR;60 BPM/7 RPM;280 CIA PM/60 BPM/7 RPM;C01157;CONSUMADO;RUA;CANAAN DA GALILEIA;;PREENCHIMENTO OPCIONAL;;214;SAGRADA FAMILIA;;;;NOVA SERRANA;-19,86782760;-44,98884310;10/07/2019;16:36:58;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2019-032891361-001;POLICIA MILITAR;53 CIA PM/23 BPM/7 RPM;240 CIA TM/23 BPM/7 RPM;C01157;CONSUMADO;AVENIDA;PRIMEIRO DE JUNHO;;ITAPECERICA;;;CENTRO;;;;DIVINOPOLIS;-20,13990620;-44,88537580;10/07/2019;20:03:27;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2019-033269107-001;POLICIA MILITAR;60 BPM/7 RPM;280 CIA PM/60 BPM/7 RPM;C01157;CONSUMADO;AVENIDA;MARANHAO;MARANHAO;PREENCHIMENTO OPCIONAL;;985.000;SANDRA REGINA;SANTO ANTONIO;;;NOVA SERRANA;-19,86518060;-44,97827010;12/07/2019;19:12:19;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2019-033286998-001;POLICIA MILITAR;53 CIA PM/23 BPM/7 RPM;53 CIA PM/23 BPM/7 RPM;C01157;CONSUMADO;RUA;PIAUI;;PREENCHIMENTO OPCIONAL;;1151;JARDIM NOVA AMERICA;;apt101;;DIVINOPOLIS;-20,13652110;-44,89722480;12/07/2019;21:06:27;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2019-033439185-001;POLICIA MILITAR;60 BPM/7 RPM;280 CIA PM/60 BPM/7 RPM;C01157;TENTADO;AVENIDA;BAHIA;;PREENCHIMENTO OPCIONAL;;3365;FREI AMBROSIO;;;;NOVA SERRANA;-19,86300000;-44,97763000;13/07/2019;22:00:00;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2019-034836250-001;POLICIA MILITAR;60 BPM/7 RPM;279 CIA PM/60 BPM/7 RPM;C01157;CONSUMADO;RUA;TUPIS;;PREENCHIMENTO OPCIONAL;;655;MARIA JOSE DO AMARAL;;;;NOVA SERRANA;-19,88504120;-44,98432610;21/07/2019;22:30:54;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2019-035745552-001;POLICIA MILITAR;3 PEL/19 CIA PM IND/7 RPM;19 CIA PM IND/7 RPM;C01157;CONSUMADO;RUA;PITANGUI;;PREENCHIMENTO OPCIONAL;;403;CENTRO;;;Cer. Lajes Santo Antonio;IGARATINGA;-19,94989920;-44,70609500;26/07/2019;15:30:00;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;2
2019-036426489-001;POLICIA MILITAR;60 BPM/7 RPM;279 CIA PM/60 BPM/7 RPM;C01157;CONSUMADO;RUA;JOSE DO PATROCINIO;;PREENCHIMENTO OPCIONAL;;33;VILA ANDRE DE FREITAS;;;;NOVA SERRANA;-19,87523110;-44,97684760;30/07/2019;19:43:37;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2019-037004872-001;POLICIA MILITAR;60 BPM/7 RPM;280 CIA PM/60 BPM/7 RPM;C01157;CONSUMADO;AVENIDA;NILTON FRANCO;;PREENCHIMENTO OPCIONAL;;1061;CONCESSO ELIAS;;;;NOVA SERRANA;-19,86032790;-44,98794900;02/08/2019;20:32:16;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2019-037304110-001;POLICIA MILITAR;3 PEL/19 CIA PM IND/7 RPM;19 CIA PM IND/7 RPM;C01157;CONSUMADO;AVENIDA;OVIDIO ABREU;;PREENCHIMENTO OPCIONAL;;71;AZAMBEQUE;;;;PARA DE MINAS;-19,87286650;-44,60360720;04/08/2019;23:05:00;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2019-037421561-001;POLICIA MILITAR;60 BPM/7 RPM;279 CIA PM/60 BPM/7 RPM;C01157;CONSUMADO;RUA;PADRE JOSE LUIZ;;PREENCHIMENTO OPCIONAL;;1003;SAO MARCOS;;PADARIA;PADARIA DELICIAS CASEIRAS;NOVA SERRANA;-19,87251390;-44,99071080;05/08/2019;13:55:00;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2019-037671442-001;POLICIA MILITAR;3 PEL/19 CIA PM IND/7 RPM;19 CIA PM IND/7 RPM;C01157;TENTADO;RUA;LAGOA FORMOSA;;PREENCHIMENTO OPCIONAL;;68;BELA VISTA;;;;PARA DE MINAS;-19,83907450;-44,60341260;06/08/2019;19:48:03;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2019-038556746-001;POLICIA MILITAR;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;C01157;CONSUMADO;RUA;SILVIO DE CARVALHO PEREIRA;;PREENCHIMENTO OPCIONAL;;210;DOUTOR JOSE TOMAZ;;;;DIVINOPOLIS;-20,13364760;-44,87798700;11/08/2019;18:49:14;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
